Year,Outperformed?,Interest Rate (Federal Funds Effective Rate),CPI,UnemploymentRate,GDPGrowthRate,GICS Sector,GICS Sub-Industry,Founded,Gender,CEO Transition,Tenure Bucket,HQ_US_State_or_Country,Salary_Bucket
2021,0,0.09,4.7,5.4,5.8,Utilities,Gas Utilities,1906,M,0.0,<= 2 years,Texas,"(0, 5000000]"
2022,1,0.08,8.0,3.6,1.9,Utilities,Gas Utilities,1906,M,0.0,2 to 5 years,Texas,"(0, 5000000]"
2023,0,4.33,3.2,3.5,2.5,Utilities,Gas Utilities,1906,M,0.0,2 to 5 years,Texas,"(0, 5000000]"
2015,1,0.11,0.1,5.3,2.9,Real Estate,Multi-Family Residential REITs,1978,M,0.0,2 to 5 years,Virginia,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Real Estate,Multi-Family Residential REITs,1978,M,0.0,2 to 5 years,Virginia,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Real Estate,Multi-Family Residential REITs,1978,M,0.0,5 to 10 years,Virginia,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Real Estate,Multi-Family Residential REITs,1978,M,0.0,5 to 10 years,Virginia,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Real Estate,Multi-Family Residential REITs,1978,M,0.0,5 to 10 years,Virginia,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Real Estate,Multi-Family Residential REITs,1978,M,0.0,5 to 10 years,Virginia,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Real Estate,Multi-Family Residential REITs,1978,M,1.0,<= 2 years,Virginia,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Real Estate,Multi-Family Residential REITs,1978,M,1.0,<= 2 years,Virginia,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Real Estate,Multi-Family Residential REITs,1978,M,0.0,<= 2 years,Virginia,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Semiconductors,1961,M,0.0,2 to 5 years,California,"(50000000, 300000000]"
2016,1,0.34,1.3,4.9,1.8,Information Technology,Semiconductors,1961,M,1.0,<= 2 years,California,"(50000000, 300000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Semiconductors,1961,M,0.0,<= 2 years,California,"(50000000, 300000000]"
2018,1,1.41,2.4,3.9,3.0,Information Technology,Semiconductors,1961,M,0.0,<= 2 years,California,"(50000000, 300000000]"
2019,0,2.4,1.8,3.7,2.5,Information Technology,Semiconductors,1961,M,0.0,2 to 5 years,California,"(50000000, 300000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,Semiconductors,1961,M,0.0,2 to 5 years,California,"(50000000, 300000000]"
2021,1,0.09,4.7,5.4,5.8,Information Technology,Semiconductors,1961,M,0.0,2 to 5 years,California,"(50000000, 300000000]"
2022,1,0.08,8.0,3.6,1.9,Information Technology,Semiconductors,1961,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2023,1,4.33,3.2,3.5,2.5,Information Technology,Semiconductors,1961,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2015,1,0.11,0.1,5.3,2.9,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,5 to 10 years,Ohio,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Materials,Paper & Plastic Packaging Products & Materials,1990,M,1.0,<= 2 years,Ohio,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,<= 2 years,Ohio,"(5000000, 10000000]"
2018,0,1.41,2.4,3.9,3.0,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,<= 2 years,Ohio,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,2 to 5 years,Ohio,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,2 to 5 years,Ohio,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,2 to 5 years,Ohio,"(5000000, 10000000]"
2022,1,0.08,8.0,3.6,1.9,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,5 to 10 years,Ohio,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Materials,Paper & Plastic Packaging Products & Materials,1990,M,0.0,5 to 10 years,Ohio,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Utilities,Water Utilities,1886,F,0.0,5 to 10 years,New Jersey,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Utilities,Water Utilities,1886,F,0.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Utilities,Water Utilities,1886,F,0.0,2 to 5 years,New Jersey,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Utilities,Water Utilities,1886,F,0.0,2 to 5 years,New Jersey,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Utilities,Water Utilities,1886,F,0.0,2 to 5 years,New Jersey,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Utilities,Water Utilities,1886,M,1.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Utilities,Water Utilities,1886,M,0.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2022,1,0.08,8.0,3.6,1.9,Utilities,Water Utilities,1886,F,1.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Utilities,Water Utilities,1886,F,0.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Aerospace & Defense,1993,M,1.0,<= 2 years,Arizona,"(0, 5000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Aerospace & Defense,1993,M,0.0,<= 2 years,Arizona,"(0, 5000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Aerospace & Defense,1993,M,0.0,<= 2 years,Arizona,"(0, 5000000]"
2015,0,0.11,0.1,5.3,2.9,Financials,Consumer Finance,1850,M,0.0,2 to 5 years,New York,"(25000000, 50000000]"
2016,0,0.34,1.3,4.9,1.8,Financials,Consumer Finance,1850,M,0.0,10+ years,New York,"(25000000, 50000000]"
2017,1,0.65,2.1,4.4,2.5,Financials,Consumer Finance,1850,M,0.0,10+ years,New York,"(25000000, 50000000]"
2018,1,1.41,2.4,3.9,3.0,Financials,Consumer Finance,1850,M,1.0,<= 2 years,New York,"(25000000, 50000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Consumer Finance,1850,M,0.0,<= 2 years,New York,"(25000000, 50000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Consumer Finance,1850,M,0.0,<= 2 years,New York,"(25000000, 50000000]"
2021,1,0.09,4.7,5.4,5.8,Financials,Consumer Finance,1850,M,0.0,2 to 5 years,New York,"(25000000, 50000000]"
2022,1,0.08,8.0,3.6,1.9,Financials,Consumer Finance,1850,M,0.0,2 to 5 years,New York,"(25000000, 50000000]"
2023,1,4.33,3.2,3.5,2.5,Financials,Consumer Finance,1850,M,0.0,2 to 5 years,New York,"(25000000, 50000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Automotive Retail,1979,M,0.0,5 to 10 years,Tennessee,"(10000000, 15000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Automotive Retail,1979,M,0.0,10+ years,Tennessee,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Aerospace & Defense,1916,M,1.0,<= 2 years,Virginia,"(20000000, 25000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Aerospace & Defense,1916,M,0.0,<= 2 years,Virginia,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Aerospace & Defense,1916,M,0.0,<= 2 years,Virginia,"(20000000, 25000000]"
2018,1,1.41,2.4,3.9,3.0,Industrials,Aerospace & Defense,1916,M,0.0,2 to 5 years,Virginia,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Aerospace & Defense,1916,M,0.0,2 to 5 years,Virginia,"(20000000, 25000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Aerospace & Defense,1916,M,1.0,<= 2 years,Virginia,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Aerospace & Defense,1916,M,0.0,<= 2 years,Virginia,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Aerospace & Defense,1916,M,0.0,<= 2 years,Virginia,"(20000000, 25000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Aerospace & Defense,1916,M,0.0,2 to 5 years,Virginia,"(20000000, 25000000]"
2015,0,0.11,0.1,5.3,2.9,Financials,Diversified Banks,1976,M,0.0,2 to 5 years,North Carolina,"(25000000, 50000000]"
2016,1,0.34,1.3,4.9,1.8,Financials,Diversified Banks,1976,M,0.0,5 to 10 years,North Carolina,"(25000000, 50000000]"
2017,1,0.65,2.1,4.4,2.5,Financials,Diversified Banks,1976,M,0.0,5 to 10 years,North Carolina,"(25000000, 50000000]"
2018,0,1.41,2.4,3.9,3.0,Financials,Diversified Banks,1976,M,0.0,5 to 10 years,North Carolina,"(25000000, 50000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Diversified Banks,1976,M,0.0,5 to 10 years,North Carolina,"(25000000, 50000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Diversified Banks,1976,M,0.0,10+ years,North Carolina,"(25000000, 50000000]"
2021,1,0.09,4.7,5.4,5.8,Financials,Diversified Banks,1976,M,0.0,10+ years,North Carolina,"(25000000, 50000000]"
2022,0,0.08,8.0,3.6,1.9,Financials,Diversified Banks,1976,M,0.0,10+ years,North Carolina,"(25000000, 50000000]"
2023,0,4.33,3.2,3.5,2.5,Financials,Diversified Banks,1976,M,0.0,10+ years,North Carolina,"(25000000, 50000000]"
2015,1,0.11,0.1,5.3,2.9,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,2 to 5 years,Colorado,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,5 to 10 years,Colorado,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,5 to 10 years,Colorado,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,5 to 10 years,Colorado,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,5 to 10 years,Colorado,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Materials,"Metal, Glass & Plastic Containers",1880,M,1.0,<= 2 years,Colorado,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Materials,"Metal, Glass & Plastic Containers",1880,M,0.0,<= 2 years,Colorado,"(5000000, 10000000]"
2015,0,0.11,0.1,5.3,2.9,Health Care,Health Care Equipment,1931,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Health Care,Health Care Equipment,1931,M,1.0,<= 2 years,Illinois,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Health Care Equipment,1931,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Health Care Equipment,1931,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Health Care Equipment,1931,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Health Care,Health Care Equipment,1931,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Health Care,Health Care Equipment,1931,M,0.0,5 to 10 years,Illinois,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Health Care,Health Care Equipment,1931,M,0.0,5 to 10 years,Illinois,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Health Care Equipment,1931,M,0.0,5 to 10 years,Illinois,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,5 to 10 years,Ohio,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,10+ years,Ohio,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,10+ years,Ohio,"(5000000, 10000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,10+ years,Ohio,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,10+ years,Ohio,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Consumer Discretionary,Other Specialty Retail,1963,M,1.0,<= 2 years,Ohio,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,<= 2 years,Ohio,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,<= 2 years,Ohio,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Other Specialty Retail,1963,M,0.0,2 to 5 years,Ohio,"(5000000, 10000000]"
2015,0,0.11,0.1,5.3,2.9,Consumer Discretionary,Computer & Electronics Retail,1966,M,0.0,2 to 5 years,Minnesota,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,Computer & Electronics Retail,1966,M,0.0,2 to 5 years,Minnesota,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,Computer & Electronics Retail,1966,M,0.0,5 to 10 years,Minnesota,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Discretionary,Computer & Electronics Retail,1966,M,0.0,5 to 10 years,Minnesota,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Computer & Electronics Retail,1966,F,1.0,<= 2 years,Minnesota,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Computer & Electronics Retail,1966,F,0.0,<= 2 years,Minnesota,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,Computer & Electronics Retail,1966,F,0.0,<= 2 years,Minnesota,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Consumer Discretionary,Computer & Electronics Retail,1966,F,0.0,2 to 5 years,Minnesota,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Computer & Electronics Retail,1966,F,0.0,2 to 5 years,Minnesota,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Health Care,Health Care Equipment,1897,M,0.0,2 to 5 years,New Jersey,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Health Care,Health Care Equipment,1897,M,0.0,2 to 5 years,New Jersey,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Health Care Equipment,1897,M,0.0,5 to 10 years,New Jersey,"(15000000, 20000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Health Care Equipment,1897,M,0.0,5 to 10 years,New Jersey,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Health Care Equipment,1897,M,0.0,5 to 10 years,New Jersey,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Health Care,Health Care Equipment,1897,M,1.0,<= 2 years,New Jersey,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Health Care,Health Care Equipment,1897,M,0.0,<= 2 years,New Jersey,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Health Care Equipment,1897,M,0.0,<= 2 years,New Jersey,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Health Care Equipment,1897,M,0.0,2 to 5 years,New Jersey,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Financials,Asset Management & Custody Banks,1947,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Financials,Asset Management & Custody Banks,1947,M,0.0,10+ years,California,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Financials,Asset Management & Custody Banks,1947,M,0.0,10+ years,California,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Financials,Asset Management & Custody Banks,1947,M,0.0,10+ years,California,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Financials,Asset Management & Custody Banks,1947,M,0.0,10+ years,California,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Asset Management & Custody Banks,1947,F,1.0,<= 2 years,California,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Financials,Asset Management & Custody Banks,1947,F,0.0,<= 2 years,California,"(15000000, 20000000]"
2022,0,0.08,8.0,3.6,1.9,Financials,Asset Management & Custody Banks,1947,F,0.0,<= 2 years,California,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Financials,Asset Management & Custody Banks,1947,F,0.0,2 to 5 years,California,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Staples,Agricultural Products & Services,1818,M,1.0,<= 2 years,Missouri,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Staples,Agricultural Products & Services,1818,M,0.0,<= 2 years,Missouri,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Staples,Agricultural Products & Services,1818,M,0.0,<= 2 years,Missouri,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Staples,Agricultural Products & Services,1818,M,0.0,2 to 5 years,Missouri,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Health Care,Biotechnology,1978,M,0.0,2 to 5 years,Massachusetts,"(25000000, 50000000]"
2016,0,0.34,1.3,4.9,1.8,Health Care,Biotechnology,1978,M,0.0,5 to 10 years,Massachusetts,"(25000000, 50000000]"
2017,0,0.65,2.1,4.4,2.5,Health Care,Biotechnology,1978,M,1.0,<= 2 years,Massachusetts,"(25000000, 50000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Biotechnology,1978,M,0.0,<= 2 years,Massachusetts,"(25000000, 50000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Biotechnology,1978,M,0.0,<= 2 years,Massachusetts,"(25000000, 50000000]"
2020,0,1.55,1.2,8.1,-2.2,Health Care,Biotechnology,1978,M,0.0,2 to 5 years,Massachusetts,"(25000000, 50000000]"
2021,0,0.09,4.7,5.4,5.8,Health Care,Biotechnology,1978,M,0.0,2 to 5 years,Massachusetts,"(25000000, 50000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Biotechnology,1978,M,1.0,<= 2 years,Massachusetts,"(25000000, 50000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Biotechnology,1978,M,0.0,<= 2 years,Massachusetts,"(25000000, 50000000]"
2015,1,0.11,0.1,5.3,2.9,Health Care,Life Sciences Tools & Services,1952,M,0.0,<= 2 years,California,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Life Sciences Tools & Services,1952,M,0.0,10+ years,California,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Financials,Asset Management & Custody Banks,1784,M,0.0,10+ years,New York,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Financials,Asset Management & Custody Banks,1784,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Financials,Asset Management & Custody Banks,1784,M,1.0,<= 2 years,New York,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Financials,Asset Management & Custody Banks,1784,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2019,0,2.4,1.8,3.7,2.5,Financials,Asset Management & Custody Banks,1784,M,1.0,<= 2 years,New York,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Asset Management & Custody Banks,1784,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Financials,Asset Management & Custody Banks,1784,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Financials,Asset Management & Custody Banks,1784,M,1.0,<= 2 years,New York,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Financials,Asset Management & Custody Banks,1784,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,<= 2 years,Connecticut,"(25000000, 50000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,<= 2 years,Connecticut,"(25000000, 50000000]"
2017,0,0.65,2.1,4.4,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,1.0,<= 2 years,Connecticut,"(25000000, 50000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,<= 2 years,Connecticut,"(25000000, 50000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,<= 2 years,Connecticut,"(25000000, 50000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,2 to 5 years,Connecticut,"(25000000, 50000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,2 to 5 years,Connecticut,"(25000000, 50000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,2 to 5 years,Connecticut,"(25000000, 50000000]"
2023,1,4.33,3.2,3.5,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,M,0.0,5 to 10 years,Connecticut,"(25000000, 50000000]"
2015,0,0.11,0.1,5.3,2.9,Energy,Oil & Gas Equipment & Services,2017,M,0.0,5 to 10 years,Texas,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Energy,Oil & Gas Equipment & Services,2017,M,0.0,2 to 5 years,Texas,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Energy,Oil & Gas Equipment & Services,2017,M,1.0,<= 2 years,Texas,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Energy,Oil & Gas Equipment & Services,2017,M,0.0,<= 2 years,Texas,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Energy,Oil & Gas Equipment & Services,2017,M,0.0,<= 2 years,Texas,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Energy,Oil & Gas Equipment & Services,2017,M,0.0,2 to 5 years,Texas,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Energy,Oil & Gas Equipment & Services,2017,M,0.0,2 to 5 years,Texas,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Energy,Oil & Gas Equipment & Services,2017,M,0.0,2 to 5 years,Texas,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Energy,Oil & Gas Equipment & Services,2017,M,0.0,5 to 10 years,Texas,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Building Products,1998,M,0.0,5 to 10 years,Texas,"(0, 5000000]"
2016,0,0.34,1.3,4.9,1.8,Industrials,Building Products,1998,M,0.0,10+ years,Texas,"(0, 5000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Building Products,1998,M,0.0,10+ years,Texas,"(0, 5000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Building Products,1998,M,1.0,<= 2 years,Texas,"(0, 5000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Building Products,1998,M,0.0,<= 2 years,Texas,"(0, 5000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Building Products,1998,M,0.0,<= 2 years,Texas,"(0, 5000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Building Products,1998,M,1.0,<= 2 years,Texas,"(0, 5000000]"
